Amt.Repaid.at.6.Months,Nominal.Loan.Amount,Total.Amt.to.be.Repaid,Repayment.Percentage,Commission.Upfront,Validated.Monthly.Batch,Historical.Monthly.Credit.Card.Receipts,Months.of.History,Loan.Type,FICO,Years.In.Business,Num.of.Credit.Lines,Satisfied.Accounts,Num.of.Paid.off.Credit.Lines,Current.Delinquent.Credit.Lines,Previous.Delinquent.Credit.Lines,Business.Entity.Type,Years.in.File,Num.of.Legal.Items,Num.of.Trade.Lines,Num.of.Derog.Legal.Item,Two.Digit.SIC.Code,Two.Digit.SIC.Description,Population.in.Zip.Code,Male.Population.in.Zip.Code,Female.Population.in.Zip.Code,Average.House.Value.in.Zip.Code,Income.Per.Household.in.Zip....,Median.Age.in.Zip.Code,Time.Zone,Bus.Establishments.in.Zip.Code,Employment.in.Zip.Code,Annual.Payroll.in.Zip.Code,PO.Residential.Count.in.Zip,PO.Business.Count.in.Zip,Delivery.Total,State,ISO.Name,Loan.Size.Class
19071,48800,58072,12.5,6734.4,44804.46,44804.46,2,O,616,3,19,13,12,1,5,Corporation,3,3,0,3,58,Eating and Drinking Places,39708,19458,20250,140300,60980,36.6,5,845,17531,725929,17962,656,18618,MI,B,S4
17077,39000,45825,9,1053,43878,34113.5756,4,R,624,16,38,36,17,0,2,Sole Proprietorship,2,0,1,0,75,Auto Repair Services and Parking,27335,12793,14542,109400,38398,33.5,5,1286,22848,634432,9918,1225,11143,MD,F,S3
28224,67000,78725,12.5,2713.5,75110.2,71469,2,R,666,59,57,55,37,0,2,Corporation,1,1,14,0,80,Health Services,21293,10678,10615,108900,36335,34.8,5,715,7357,189061,8123,621,8744,FL,OTHER,S4
25264,81000,95580,12.5,11566.8,60299.52,60299.3333,3,O,523,1,26,14,12,9,3,Limited Liability Company,3,5,2,0,58,Eating and Drinking Places,8208,3935,4273,290300,66983,36.1,5,269,2861,107881,3299,254,3553,CT,OTHER,S4
2149,6000,7050,12.5,648,5418,3741,2,R,548,12,2,0,1,1,1,Sole Proprietorship,6,1,1,1,55,Automotive Dealers and Service Stations,20832,9776,11056,79800,29668,42.7,5,636,5997,140458,8568,793,9361,FL,E,S1
2033,4200,5208,12.5,497.28,3518,3990,1,R,567,2,39,30,22,0,9,Corporation,1,3,2,0,58,Eating and Drinking Places,9667,4844,4823,87800,36852,42.4,5,381,4769,109808,3348,295,3643,PA,B,S1
5856,10600,13144,12.5,1568.8,6985.82,6986,3,O,643,4,3,0,2,0,3,Corporation,3,1,1,0,72,Personal Services,6720,3297,3423,111000,39000,34.3,5,321,8800,399146,1908,406,2314,MD,B,S2
39172,78800,93772,12.5,8510.3,62235.28,62235.5,8,O,648,6,8,5,4,1,2,Corporation,6,8,0,5,54,Food Stores,30748,14684,16064,97800,40404,35.9,5,683,10070,256270,12672,667,13339,OH,OTHER,S4
31397,72600,86394,12.5,8015.04,120814,59486,1,R,640,11,38,34,16,3,9,Corporation,2,0,0,0,58,Eating and Drinking Places,6203,3050,3153,215400,62420,37,5,365,4023,160560,2225,373,2598,NJ,B,S4
130936,230000,265650,12.5,4554,251000,250995.243,11,R,667,19,33,6,6,0,0,Corporation,4,3,0,2,55,Automotive Dealers and Service Stations,54069,25699,28370,284800,83651,40,5,2238,36758,1370617,16019,1610,17629,NJ,OTHER,S4
41911,73500,91140,12.5,10878,48365.8,51706.8571,7,O,627,10,30,24,13,4,2,Sole Proprietorship,8,0,3,0,57,Home Furniture and Furnishings Stores,23122,12514,10608,197900,50663,35.3,5,765,12057,495756,10097,896,10993,DC,B,S4
5644,17200,21070,12.5,1204,11023.48,9508.09447,10,O,538,2,18,7,6,8,3,Limited Liability Company,12,3,4,0,41,Local/Suburban Transit and Highway Passenger,31036,17203,13833,186000,50349,31.4,5,1630,20664,745243,9880,1761,11641,GA,C,S2
11946,33000,40920,12.5,4884,17301.26,17299.9136,2,O,513,6,35,17,19,9,9,Limited Liability Company,11,2,1,2,56,Apparel and Accessory Stores,7271,3544,3727,114000,50977,37.7,5,145,2192,76050,2206,144,2350,NJ,H,S3
5227,13800,16215,12.5,1630.12,12454.6,12455,4,O,501,13,15,2,3,9,4,Sole Proprietorship,3,0,0,0,58,Eating and Drinking Places,24878,12146,12732,108700,43308,39.5,5,733,12319,378438,10261,748,11009,NY,D,S2
7242,17600,20680,12.5,2079,15885.56,18936.1818,11,O,493,2,31,23,21,2,6,Corporation,2,0,1,0,72,Personal Services,41637,20162,21475,125800,52025,37.9,5,1142,12538,323931,20501,385,20886,FL,D,S2
10209,33000,40920,12.5,3907.2,21806,24632,1,R,480,20,27,12,15,11,4,Corporation,17,7,1,1,72,Personal Services,26955,13332,13623,202400,69689,35.1,6,1201,27666,1027519,12158,895,13053,AL,B,S3
2044,3200,3968,12.5,710.4,3401.3,3400.66667,3,O,648,19,48,48,27,0,0,Corporation,17,0,4,0,80,Health Services,6603,3207,3396,95000,33666,29.4,6,367,6808,173404,2826,411,3237,MN,B,S1
5214,9800,12152,12.5,1450.4,6473.5,6474,3,O,604,3,32,21,13,7,4,Sole Proprietorship,1,0,1,0,59,Miscellaneous Retail Stores,15726,7406,8320,138600,51705,36.2,5,915,13832,443028,6110,668,6778,VT,B,S2
9669,27200,33728,12.5,4025.6,17993.08,18566.5,8,O,578,2,15,4,9,3,8,Sole Proprietorship,1,0,0,0,58,Eating and Drinking Places,35214,17371,17843,93800,39115,36.5,5,741,11706,290616,13365,806,14171,NC,B,S3
18872,42400,54060,12.5,8872.2,27931.34,27931.3333,3,O,465,5,31,22,20,3,6,Corporation,24,3,1,0,58,Eating and Drinking Places,30069,15462,14607,83100,19873,26,6,787,12401,260214,9516,1006,10522,IL,B,S4
2735,4800,5850,12.5,724.5,4874,7223,2,R,541,4,45,33,33,2,10,Corporation,3,0,0,0,78,Motion Pictures,9034,4459,4575,77500,32963,39.9,5,157,1044,23648,2722,86,2808,FL,H,S1
9134,43000,54000,12.5,7852,27727.1,27727,4,O,541,3,37,27,17,6,4,Corporation,2,0,2,0,58,Eating and Drinking Places,5985,2900,3085,99000,47043,36.2,5,74,478,11178,2258,82,2340,PA,H,S4
7515,15000,18600,12.5,2220,9818.54,9818.66667,9,O,482,7,23,7,11,7,9,Corporation,5,4,0,1,54,Food Stores,33098,15915,17183,72300,36606,34.1,5,979,19956,787909,13584,1269,14853,MD,B,S2
27751,78000,92040,12.5,8486.4,62020.24,62288.1818,11,O,596,1,48,44,37,1,3,Corporation,12,4,5,2,58,Eating and Drinking Places,50783,24958,25825,109300,40199,34.2,5,1432,18044,521723,16844,1020,17864,FL,OTHER,S4
2928,8000,9920,12.5,1924,6365.9,7916,6,O,527,6,28,19,12,4,5,Corporation,8,1,3,1,75,Auto Repair Services and Parking,23823,10896,12927,156300,26120,31.4,5,447,7136,298637,8465,694,9159,MA,H,S1
9675,13400,15745,12.5,361.8,28497.84,28499.639,5,R,598,4,41,14,14,1,15,Limited Liability Company,10,4,2,1,75,Auto Repair Services and Parking,3717,2211,1506,36500,7619,36.1,6,966,24514,1266487,1211,1376,2587,AL,F,S2
5423,11600,13630,12.5,1252.8,11266.4,11266.5,4,O,615,3,25,22,10,0,3,Corporation,3,2,0,0,58,Eating and Drinking Places,48976,23706,25270,97800,41171,36.4,5,1212,18020,534011,17847,1155,19002,MI,E,S2
10025,14400,16992,5,1370.88,42528.66,64036,1,R,645,6,29,20,15,2,7,Corporation,13,1,3,0,57,Home Furniture and Furnishings Stores,30806,14305,16501,92900,33009,56.1,5,899,12848,385688,13109,957,14066,FL,B,S2
12863,39800,47362,12.5,1098.48,83817.42,2280,1,R,575,19,50,48,30,0,2,Sole Proprietorship,5,0,0,0,58,Eating and Drinking Places,10051,4817,5234,73600,29140,38.9,5,332,4925,155918,3920,299,4219,ME,F,S3
18779,26800,31892,12.5,3698.4,21047.04,23507.3333,3,O,617,2,44,41,29,0,3,Corporation,1,1,1,0,58,Eating and Drinking Places,36551,17799,18752,108200,42238,35.8,5,537,6210,200970,12675,494,13169,MD,B,S3
1232,3000,3540,10,244.8,4208.62,4208.8,5,O,522,8,15,1,6,8,6,Sole Proprietorship,10,2,0,0,72,Personal Services,54453,26738,27715,235000,93150,34.2,5,1669,26673,1124068,20112,809,20921,GA,OTHER,S1
3502,8400,10416,12.5,1243.2,5710.9,7691.28571,14,O,679,3,7,5,3,2,0,Sole Proprietorship,16,1,5,0,73,Business Services,9480,4636,4844,125000,40963,40.6,5,422,3799,121736,4797,341,5138,MI,B,S2
625,7000,8330,12.5,966,6675,6675,6,O,455,10,119,25,75,43,51,Corporation,10,20,1,13,75,Auto Repair Services and Parking,29924,14762,15162,104200,45461,30.6,5,281,2809,72187,14027,357,14384,IN,B,S1
59168,122000,151280,12.5,18056,80330.64,118370,6,O,486,7,21,12,11,3,6,Corporation,3,16,4,9,57,Home Furniture and Furnishings Stores,12120,6032,6088,142200,38213,46.8,5,705,7958,161767,8276,871,9147,SC,B,S4
2657,6200,7378,12.5,669.94,4856,10856,3,O,589,7,28,19,4,1,8,Corporation,6,1,4,0,17,Construction-Special Trade Contractors,44468,22202,22266,171100,69395,34.3,6,1501,20673,613031,15689,1329,17018,IL,OTHER,S1
